pathway	Ship-Ballast-100-02-01-17-SA-2-tank-6-uptake-3	Ship-Ballast-101-02-01-17-SA-2-tank-2-uptake-1	Ship-Ballast-102-02-01-17-SA-2-tank-2-uptake-2	Ship-Ballast-103-02-01-17-SA-2-tank-2-uptake-3	Ship-Ballast-110-02-05-17-SA-2-Dis6-1	Ship-Ballast-111-02-05-17-SA-2-Dis6-2	Ship-Ballast-112-02-05-17-SA-2-Dis6-3	Ship-Ballast-113-02-05-17-SA-2-Dis2B-1	Ship-Ballast-114-02-05-17-SA-2-Dis2B-2	Ship-Ballast-115-02-05-17-SA-2-Dis2B-3	Ship-Ballast-80-10-18-16-SA-1-UP-5-1	Ship-Ballast-81-10-18-16-SA-1-UP-5-2	Ship-Ballast-82-10-18-16-SA-1-UP-5-3	Ship-Ballast-83-10-17-16-SA-1-UP-6-1	Ship-Ballast-84-10-17-16-SA-1-UP-6-2	Ship-Ballast-85-10-17-16-SA-1-UP-6-3	Ship-Ballast-86-10-20-16-EX-Dis-5-1	Ship-Ballast-87-10-20-16-EX-Dis-5-2	Ship-Ballast-88-10-20-16-EX-Dis-5-3	Ship-Ballast-89-10-20-16-EX-UP-5-1	Ship-Ballast-90-10-20-16-EX-UP-5-2	Ship-Ballast-91-10-20-16-EX-UP-5-3	Ship-Ballast-92-10-23-16-SA-1-Dis-6-1	Ship-Ballast-93-10-23-16-SA-1-Dis-6-2	Ship-Ballast-94-10-23-16-SA-1-Dis-6-3	Ship-Ballast-95-10-23-16-SA-1-Dis-5-1	Ship-Ballast-96-10-23-16-SA-1-Dis-5-2	Ship-Ballast-97-10-23-16-SA-1-Dis-5-3	Ship-Ballast-98-02-01-17-SA-2-tank-6-uptake-1	Ship-Ballast-99-02-01-17-SA-2-tank-6-uptake-2
GLUCONEO-PWY	3311.2570368769093	1959.76335430454	1769.8628048385335	1661.118204272292	6918.850542987931	5192.471022906155	6282.91519104953	6231.102721587125	7317.286346693356	4203.627279855289	4650.762433550801	3937.5088678033217	3761.9948207494167	6055.019485320553	7221.078420751978	7012.235302595658	3532.4327540726113	3890.2857273731806	4692.5764077917665	11252.659830059467	11727.425351994129	9595.891549386617	8111.231560901272	6866.739485022281	6307.265442940233	3210.495005767247	3973.2087083709744	2546.3238571828647	1917.2133571060942	1509.709436487766
GLUCOSE1PMETAB-PWY	722.1529640314119	407.8192688686902	298.1448488140503	348.1267264470598	7010.412349898188	5394.8129241563	6237.164620016651	5316.707292743547	6176.223916836248	3574.9203386409044	2489.618295142496	2054.8087430671035	2053.902664216446	4318.096437269862	5122.911008096165	4984.432371630546	3396.872685019427	3843.3865465073272	4627.548948309381	8681.23108006329	9011.049910996662	7482.276001618043	8857.585696235421	7548.4806475306605	6849.9863464767095	3256.2571279684357	4060.4430082948916	2634.4156819639097	378.67735537190083	320.99639983851245
GLUCUROCAT-PWY	736.5921515590873	407.04364190671436	372.35800496203535	362.3394330485608	1308.5517243603206	803.1109000623853	1396.093375491346	2010.1252359274943	2442.608483914953	1393.825363152097	1268.1421863557348	1043.4600584675682	969.137328878784	452.10945799344313	446.22310655666746	386.72420668166586	68.40323883030909	78.59567098729194	71.6872189383761	20.48474636031663	31.55558612796801	52.71292177183844	120.14145616161127	33.05246141115168	44.09120644071701	0.0	10.781078819813779	0.0	432.8105605275292	345.43856491569346
GLUTORN-PWY	3209.7162066563	1940.7103696943905	1704.449222399987	1660.551804710428	7787.402300051304	5861.383839882991	7017.572892447042	6678.369603773197	7860.271491969778	4537.004357382046	4059.520248103539	3406.553725030925	3255.53748171802	4746.493757385371	5610.734717864199	5293.856543278635	3988.8810707144257	4573.721100577146	5476.812527108701	10642.663975279003	10957.758377238126	9035.507446367948	9395.239470827964	8035.254587515393	7050.241768721235	3583.8402852709896	4449.573034556016	2868.0583520065225	1866.2443642382473	1466.4826424797932
GLYCOCAT-PWY	1145.292359909079	740.8189654733511	767.6094141955472	786.3753702071634	1335.6847105683473	1033.7087750754195	1029.6232307568075	740.080025394739	932.7667489955662	594.9485683144167	2310.1943526448986	1959.8366078801962	1924.7320908911017	4232.865390270657	5046.436470420827	4906.310451950547	1163.1917145944979	1244.7297707116716	1781.9757109195514	7544.818411837216	7884.140641551199	6560.469043074065	5524.286365279764	4622.654297931298	4257.587828382823	2388.4388285419004	2908.665629051443	1843.408914561269	838.9240140963828	651.4477336492271
GLYCOGENSYNTH-PWY	1843.212910611403	1198.425062676352	1107.215330840301	1091.4136665927988	2967.5676623389018	1989.2198968694383	2706.273087762096	3068.634704750431	3775.3826439110653	2217.376617910438	3327.945355451522	2803.1416907163334	2745.138369096749	5067.083437435254	6040.245185816212	5803.165002446506	1055.1814940624683	1145.1603731914981	1627.8992543856878	8253.52009669948	8642.315236925748	7163.665222057192	5142.272612961066	4256.959402636375	4022.8511152786227	2095.4680471757983	2526.5612614243437	1570.180517977416	1121.7559155223448	960.3153193437939
GLYCOL-GLYOXDEG-PWY	0.0	3.425683501210824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7725908529982124	0.0
GLYCOLYSIS	3155.9269801366722	1899.3329202294644	1651.951184046559	1588.5999957245192	6030.191602827978	4381.040245748769	5661.417145125905	5997.198648777143	7071.087845473457	4034.7590785129914	4368.027300275823	3639.058669472602	3535.117080715124	5681.621469517714	6783.000189791381	6578.787890465404	2097.5378278182375	1922.8856225440843	2564.531877880888	11160.822671482463	11662.949657210173	9519.840011535352	6898.034524349464	5743.524883995755	5509.481842515969	3035.3521877816875	3762.8531442774547	2382.5247689106736	1768.200375573872	1408.4382321854778
GLYCOLYSIS-E-D	2608.3863555649464	1402.6300036952107	1374.296909901409	1272.849140846145	6185.955876151988	4543.9874828085785	5735.7042531029065	5774.7083601523045	6801.229277551276	3902.4745853190225	3797.0297388878644	3139.4921744616618	3038.965925855085	4033.5234022587156	4507.433110248139	3785.5729461357855	2345.4786576309325	2243.833863851044	2928.7080489015493	9445.412964440962	9910.876825636715	8186.071486011216	7269.981906323552	6084.616620742462	5742.513095143718	3048.665316409288	3775.7443298692765	2409.412420091935	1482.4863622196403	1136.158255722526
GLYCOLYSIS-TCA-GLYOX-BYPASS	2940.5957182188818	1617.787776421893	1489.6860266240756	1382.830814487288	6295.449255878742	4590.930175660587	5923.676056444938	6349.990014088629	7483.575206041653	4291.689735984791	4243.366099311022	3526.049218088752	3399.781654040159	4556.964047113904	5221.798954671296	4786.330943485591	2537.346414160573	2461.7809711570926	3182.1008357544515	9655.885427178135	9968.11848363093	8190.80098064831	7621.925933505942	6363.754623606554	6042.270891181589	3195.309487748966	3947.273997895775	2521.4162761522452	1668.949089879234	1239.322762460912
GLYOXYLATE-BYPASS	2353.3295543605077	1410.3379586014457	1174.1203279697713	1057.6432332529291	6772.8954442662425	5182.782120005985	6048.373165277541	5588.719204741568	6555.826527571861	3835.220043828755	3536.4807555730404	2981.737180328511	2810.7726742143027	4369.740655605087	5204.141565406393	5032.187189008434	3385.385350179881	3788.542539969969	4578.524280836751	10554.72802586068	10892.415479859306	8976.632280595817	8529.401038578591	7232.316467808242	6572.382851244826	3115.8349313795607	3844.890028821383	2479.5388260804334	1368.4439782163802	1088.5444304505952
HCAMHPDEG-PWY	0.0	2.99486301369863	20.96580725340834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.20596492932433	15.338595106550907	17.390608508988997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1879073079795055	0.0
HEME-BIOSYNTHESIS-II	2794.496308746766	1540.7440097366743	1458.3185788094863	1332.0549405514223	6397.314332402751	4790.242271179647	5857.553325161586	5861.92	6891.67	3949.82594919275	4064.431096324023	3425.3480429220176	3222.9777965720154	4532.760964200789	5389.02584406854	5232.428609314694	3259.968563205179	3572.2680621467484	4295.816445550593	9136.268126200112	9372.922854188644	7735.741204788992	7384.734941401621	6245.085407791287	5791.638041930303	2901.896293137395	3585.2653170234	2305.3082316000323	1580.1982742057048	1244.3817408297164
HEMESYN2-PWY	3252.601284737456	1829.0159977352143	1718.9703460463027	1580.0937833659937	7378.904181843573	5527.561169933102	6748.041670529808	6754.307074768428	7937.812525052013	4555.465843146163	4746.375998461908	3978.7531803204056	3781.040681165242	5382.37621784223	6394.789080879758	6257.6157639602125	3691.2039397567423	4023.5407485279134	4846.683387573321	10714.605774277148	11033.917075851272	9095.239703976195	8410.348262536	7100.671448087323	6623.833782559451	3314.924344390679	4096.082940521963	2632.4869946295066	1853.2959798724764	1469.1476123051953
HEXITOLDEGSUPER-PWY	0.0	30.887572147044807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.50050336624831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.156343472347842	0.0
