pathway	Ship-Ballast-100-02-01-17-SA-2-tank-6-uptake-3	Ship-Ballast-101-02-01-17-SA-2-tank-2-uptake-1	Ship-Ballast-102-02-01-17-SA-2-tank-2-uptake-2	Ship-Ballast-103-02-01-17-SA-2-tank-2-uptake-3	Ship-Ballast-110-02-05-17-SA-2-Dis6-1	Ship-Ballast-111-02-05-17-SA-2-Dis6-2	Ship-Ballast-112-02-05-17-SA-2-Dis6-3	Ship-Ballast-113-02-05-17-SA-2-Dis2B-1	Ship-Ballast-114-02-05-17-SA-2-Dis2B-2	Ship-Ballast-115-02-05-17-SA-2-Dis2B-3	Ship-Ballast-80-10-18-16-SA-1-UP-5-1	Ship-Ballast-81-10-18-16-SA-1-UP-5-2	Ship-Ballast-82-10-18-16-SA-1-UP-5-3	Ship-Ballast-83-10-17-16-SA-1-UP-6-1	Ship-Ballast-84-10-17-16-SA-1-UP-6-2	Ship-Ballast-85-10-17-16-SA-1-UP-6-3	Ship-Ballast-86-10-20-16-EX-Dis-5-1	Ship-Ballast-87-10-20-16-EX-Dis-5-2	Ship-Ballast-88-10-20-16-EX-Dis-5-3	Ship-Ballast-89-10-20-16-EX-UP-5-1	Ship-Ballast-90-10-20-16-EX-UP-5-2	Ship-Ballast-91-10-20-16-EX-UP-5-3	Ship-Ballast-92-10-23-16-SA-1-Dis-6-1	Ship-Ballast-93-10-23-16-SA-1-Dis-6-2	Ship-Ballast-94-10-23-16-SA-1-Dis-6-3	Ship-Ballast-95-10-23-16-SA-1-Dis-5-1	Ship-Ballast-96-10-23-16-SA-1-Dis-5-2	Ship-Ballast-97-10-23-16-SA-1-Dis-5-3	Ship-Ballast-98-02-01-17-SA-2-tank-6-uptake-1	Ship-Ballast-99-02-01-17-SA-2-tank-6-uptake-2
PWY-5647	410.4349734	211.9731943	182.0188187	186.4107163	184.7475808	116.967987	141.7675853	92.66009852	124.6586366	113.8756411	106.0359064	116.2569501	114.0277517	0	4.36521878	0	0	0	0	575.4484214	669.7418976	502.1455038	1.822429907	0	0	0	0	0	253.7765882	172.3942112
PWY-5651	965.594344	616.7896282	552.1378892	467.9235052	914.3171122	595.5136189	1053.907543	1491.142791	1891.614737	1090.322066	1324.153736	1109.351907	1016.238813	381.5749905	409.4022431	310.1526866	61.6289218	91.40477667	124.4927094	651.0342568	752.9802045	565.6703923	31.0295843	25.8720776	3.638461074	81.84124228	77.86234869	51.87942008	619.2556998	401.1091098
PWY-5654	381.4143474	188.2953513	161.1787503	170.1314358	156.0219378	98.9056304	117.5228042	75.30275229	101.3734336	93.52941176	86.45021085	95.32480657	93.65105496	0	3.5	0	0	0	0	573.9551563	666.3480949	503.7573402	1.5	0	0	0	0	0	231.5855421	159.8770207
PWY-5655	527.0640246	284.7535785	240.391388	232.1600385	214.5610496	149.2738573	151.1416432	124.8638343	129.7539804	94.25722656	203.9246984	205.6957365	207.0150475	0	9.98815062	0	0	0	0	39.24960867	138.2457979	91.5089561	4.185208746	0	0	0	0	0	323.997097	233.7967004
PWY-5659	3454.226506	2154.168404	1864.022986	1776.936401	7427.370746	5581.345537	6729.515085	6692.034057	7867.623596	4512.072109	3776.678402	3123.159558	2892.845996	1958.817605	2118.524466	1560.840133	3729.23273	4128.011936	4955.255163	15475.21794	16163.09821	12987.13737	8209.301389	6973.96119	6350.499059	3440.64507	4245.187065	2744.735882	1989.953415	1585.847121
PWY-5667	4324.486583	2528.130091	2255.846376	2161.538754	13249.012	10049.72681	11836.82335	10682.29545	12481.37899	7225.145748	5958.613933	5016.364535	4771.407602	6173.532848	7263.270595	6780.351958	7170.450365	8076.926077	9640.940096	12493.53055	12898.37873	10563.56829	14815.00806	12732.75319	11135.40347	4915.713887	6110.066273	4036.338863	2479.700131	1943.520917
PWY-5676	358.0380371	169.1487451	182.1695099	166.0804879	4106.69907	3155.035796	3762.886483	3408.051707	3988.188658	2288.607423	866.9222242	632.4378332	658.1969194	430.4317047	414.7292214	398.955174	1793.6087	1848.750912	2168.70553	106.4471155	139.3210292	42.34896503	2282.989518	1860.887938	1786.86603	1101.647722	1372.5053	919.7507406	216.7686374	184.5081112
PWY-5677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.211693639	0	0	0	0	0	0	0	0	0
PWY-5686	3762.207277	2278.571356	2016.723175	1914.652704	7934.417499	5941.643642	7242.047078	7197.247038	8458.541272	4862.427346	4928.332598	4157.540072	3960.564864	5508.203607	6534.833236	6306.350644	4021.45434	4456.744164	5342.462971	11764.85672	12104.54501	9956.565104	9012.036142	7645.436184	6983.64767	3519.285974	4351.32049	2805.342362	2183.659681	1712.40297
PWY-5695	3692.593981	1849.345975	1590.449117	1687.497216	9382.556811	7035.806204	8498.372479	8354.916943	9809.056217	5679.335307	5003.389607	4076.626763	4072.323274	6599.411044	7839.99731	7466.107516	4388.089769	5003.565533	6003.143231	14747.39823	15481.76494	12536.10496	9603.145289	8233.385623	7061.046422	3515.732678	4353.160436	2840.055552	1955.024537	1485.312082
